audio,transcript
adapt_sample_463_clean,طب كده حرام مراتك بتفرق في المعامله بين الفروج
adapt_sample_464_clean,فأنا لازم أحترم دي أحترم الجلابيه وأحترم دي
adapt_sample_465_clean,أنا سايبلك البيت وماشي وهعيش أنا وبناتي في بيت أبويا القديم
adapt_sample_466_clean,و عايزالي حتة توست
adapt_sample_467_clean,إنت تعرفها يا حاج ناصر
adapt_sample_468_clean,و هي جيت على غفله هات الوايفاي يا مصطفى
adapt_sample_469_clean,يبقي اكيد حطه اكلنا إحنا في جردل الطير مين مين اتفضل
adapt_sample_470_clean,لا يا بهيم
adapt_sample_471_clean,أبوك قاله اقعد معاهم ومن إمتى التار ده ومن إمتى
adapt_sample_472_clean,خلاص يا ولدي أمرنا لله دخل الفروج
adapt_sample_473_clean,دخلت المدارس ودخلت الكباري ودخلت المنشأت والكلام من ده كله
adapt_sample_474_clean,اتقالت فين ما هو ما هو خدي من ده كتير إمسكني إمسكني في حفله
adapt_sample_475_clean,ما هداه ربي ما هداه أصل إن مجتش الهدايه من ربنا هتيجي منين
adapt_sample_476_clean,علاقتي بيهم إم هو طبعا الفضل إن هي يعني إيه الأم إم
adapt_sample_477_clean,قاللي بص يا جخ إنت عذرك معاك إنت محدش يقدر يقولك حاجه بس أنا عايز أقولك إن في حتى وقتنا هذا اللي بكلمك فيه لسه البيع بييجي اخر يومين ده إحنا كنا التلاته
adapt_sample_478_clean,تمام
adapt_sample_479_clean,شيل الكفن أه اللي تختاره إنت في العيله يعني جدد الركاب اللي ضرب في السجن وعايز تهدي سرك إنت مهندس أقولك أنا
adapt_sample_480_clean,ما هو اللي مخلي التار ما رضيش يخلص
adapt_sample_481_clean,ويكون عندك الخطه جاهزه
adapt_sample_482_clean,و القصيده اللي كتبتها اللي هي حتة الجلب اللي مات أنا مش حافظها على فكره على لو كان محمد محمد يونس ده أكيد كان هيظهرلي و طلع على الحرم
adapt_sample_483_clean,وعايشين على يعني بيعيشوا على أقل حاجه يعني يعني أنا لو أطول والله كل أم صعيديه أبوس على دماغها أعمل يعني أعمل كده
adapt_sample_484_clean,إم إن شاء الله هتغرف غرف دايما و في نفس الوقت اللي إم
adapt_sample_485_clean,أه كلمت مصطفى قولت أنا عايز أشارك الفكره مع الحاج الضوي
adapt_sample_486_clean,مثلا ست عربيات عفش ليه
adapt_sample_487_clean,في كثير من القرارات لما الإعلان الدستوري نفسه نزل أنا نزلت ليلتها
adapt_sample_488_clean,ألف سلامه عليك يا حج
adapt_sample_489_clean,فكنت عايز أقول إيه
adapt_sample_490_clean,أصلي فيها سنه تدبير
adapt_sample_491_clean,و أنا مسميه تربه
adapt_sample_492_clean,عشان أنت لو عامل البانيو احنا مكناش هنجيب
adapt_sample_493_clean,تمام يا حاج
adapt_sample_494_clean,أربعتاشر ساعه سفر ولا حضرتك من الأقصر إحنا جايين
adapt_sample_495_clean,قال لها أها يعني
adapt_sample_496_clean,ماشي يا أبو الدكتوره
adapt_sample_497_clean,شكلك مش ناوي تشتري راجل يا عمي
adapt_sample_498_clean,أبوس إيدك يا ناصر سيبني أربي بناتي أنا راضي بنصيبي يا أخي
adapt_sample_499_clean,بينا يا عمي لنعاود
adapt_sample_500_clean,أبوته قاعد
adapt_sample_501_clean,أيوه أنا وكلاهم السيد أحمد
adapt_sample_502_clean,الدنيا كلها عارفاها
adapt_sample_503_clean,وعسل
adapt_sample_504_clean,يا على الوجع لما بتصغر من مرارته أي أه ولا يصحكش من حلمك إلا على شهادة الوفاه
adapt_sample_505_clean,ما المش طبعا خلاها جابت القديم والجديد
adapt_sample_506_clean,هي معاها حق برضو يا خميس الفروج بيبيض لكن الديك عمرها ما باضت
adapt_sample_507_clean,خصوصا وأنا عارفه إن عمي بيكرهني
adapt_sample_508_clean,و كنت قبليها بفتره متفق مع الجاليه العربيه في السعوديه إني أروح هناك أعمل حفله حفله مجاني مش هاخد منها فلوس بس الراجل هناك المهندس إمام إمام يوسف
adapt_sample_509_clean,أه يا راجل اسمه اسماعيل الحبروك الله يرحمه
adapt_sample_510_clean,أنا إخوان وكل المسلمين إخوان
adapt_sample_511_clean,عارف عارف إن عندك أربع ولاد
adapt_sample_512_clean,بطاطس بعدين جت انت بالقطط بالقطط تلقيه ميت يا عم شكر أنت راجل كويس أنا مين شويه بصراحه يعني لأن هي مدفونه
adapt_sample_513_clean,بيقول إيه بسم الله الرحمن الرحيم بيقول صوتك في صوتي هو كان إيه يحب أوي أدائي
adapt_sample_514_clean,أمام وائل الإبراشي وأمام جمهوره عيب يعني يعني مش إنت اللي هكلمك أقولك إن إن مثلا إبن زيدون قال لم نعتقد بعدكم إلا الوفاء لكم رأيا و لم نتقلد غيره دينا
adapt_sample_515_clean,أمال فين واكلاهم
adapt_sample_516_clean,المعلم خميس سداد
adapt_sample_517_clean,أنا أنا حقي إن أنا أقول كده وأنا لما أتكلم
adapt_sample_518_clean,أنت ما هما شاربين المر
adapt_sample_519_clean,طلع على الريحه أياميها
adapt_sample_520_clean,أه وحش وحش وحش كرئيس لكن هو كشخص مع مع مع أصدقائه ومع أهل بيته ومع
adapt_sample_521_clean,بالآلاف عشرات الآلاف إم في سينا وغحنا معاك
adapt_sample_522_clean,مين اللي ضربهم
adapt_sample_523_clean,دولا رجاله مش بنات
adapt_sample_524_clean,اللي هي متهد جبال
adapt_sample_525_clean,يا ترى اتأخرت ليه يا نصره يا بنتي
adapt_sample_526_clean,وطبعا أحباب
adapt_sample_527_clean,فلما تيجي تشتمه يعني معناه إما أنك أحمق أو جاهل لمؤاخذه إم
adapt_sample_528_clean,هو ربنا بينسى قالي لأ دي بلاغه قولتله طب لما أنت عارف إنها بلاغه ولله المثل الأعلى طبعا لا يقارن كلام ربنا بالشعر بس يعني
adapt_sample_529_clean,إنت عمرك ما تجيبلي حد زين
adapt_sample_530_clean,نعم ولا رقبته يقوله عفو عنك الله
adapt_sample_531_clean,لأن الشيخ راجل شاعر عظيم وعالم لغه عامل بورده في مدح الرسول وعامل ألفيه في النحو
adapt_sample_532_clean,جاني أم كلثوم وحسيت إن ده تقوله ده إنت مجنون إنت وأم كلثوم
adapt_sample_533_clean,فيعني هو هو قدر الله وما شاء فعل في من عام من عام مضى أنا أنا آمنت بشيء وعملته ودعمت حمدين صباحي وسافرت وراه تلات بلاد علشان عشان أدعمه سافرت سيك
adapt_sample_534_clean,إزاي
adapt_sample_535_clean,وإمام إم ومأذون شرعي إم كمان إم
adapt_sample_536_clean,أهلا وسهلا مين فيكم العريس
adapt_sample_537_clean,خد خمستاشر سنه
adapt_sample_538_clean,يا خلصت شغل
adapt_sample_539_clean,عم فؤاد حداد يا سلام كتب عني قصيده أه
adapt_sample_540_clean,دخلنا السجن أيضا إم وكل حاجه يعني ما يعني لا تستطيع أن تشكك في مسيرتي على الإطلاق
adapt_sample_541_clean,طب ما تتفضل اتفضل
adapt_sample_542_clean,أنا أديها طلقه ولا أديهالك
adapt_sample_543_clean,وريني الفلورست ده كده
adapt_sample_544_clean,لأ مش أصله أصلا إم
adapt_sample_545_clean,قولتلي دكتور من مصر
adapt_sample_546_clean,إنت شايفني يا خماسينو
adapt_sample_547_clean,يعني برضو اتشبكوا مع عائله تاني ضربوا واحد عودوا دربوا مكانه راحوا مصالحين
adapt_sample_548_clean,البنت زي الواد يا ناصر
adapt_sample_549_clean,و لما و لما حسيت إنت حسيت إن في حاجات المفروض إن إنت تتكلم فيها غلط في إهمال و في كسل و في أنا أنا ما ينفعش أتهم الرئيس مرسي إنه شخص فاسد ما ينفعش
adapt_sample_550_clean,جيش إيه يا حمار
adapt_sample_551_clean,هعمله ايه يا قولي مع السلامه يعني ايه اعزني ما خلفتوش
adapt_sample_552_clean,عامله شعرها كاريه زي الأستاده منى
adapt_sample_553_clean,ما يخلصش أبدا
adapt_sample_554_clean,هاتي وكلامك
adapt_sample_555_clean,إم خلي بالك إم الذين يعني ما زالوا كل يوم يفجروا ويموتوا بشر والقنابل دلوقتي بدل ما كانت تستهدف البوليس أو البتاعه
adapt_sample_556_clean,أنا وإخواتي البنات كلنا بنحبك يا عمي
adapt_sample_557_clean,أهلا يا شيخ العرب إزيك
adapt_sample_558_clean,طب والله يا محمود
adapt_sample_559_clean,ملهاش علاقه بالدين خالص لكن هي بالفعل فيها ألفاظ ماجنه وألفاظ شراكه أه
adapt_sample_560_clean,إم ممكن الحاجه في البيت تحكيلي على حاجه زي مثلا أي حاجه أه أروح أعمل منها فيديو
adapt_sample_561_clean,على كل هامة قدم
adapt_sample_562_clean,أبهاتنا وجدودنا خدمنا فيها يعني من زمان بس النهارده إم مربيين الحيوانات و بنصدر بره من المزارع بتاعتنا إن دي ما كناش على اللي هما شجعونا الدكاتره في الحياه البريه كويسين قالو إعملوا مزارع عملنا مزارع إحنا اتكلفنا إرفعي علينا بس دلوقتي بره الوقت غير الأول
adapt_sample_563_clean,أه حاج ضوي
adapt_sample_564_clean,خليهم تلات تجواز
adapt_sample_565_clean,وأكتر
adapt_sample_566_clean,ما تعرفش كيف طب أبوك ما قاليش نضرب واحد
adapt_sample_567_clean,مش زيك مخلف أربعه ومهنش عليك تعلم واحد فيهم
adapt_sample_568_clean,فشوف أنا عرفت أحلي امرأه يعني في حياتي
adapt_sample_569_clean,وهفضل أعمل فيديوهاتي على الفيس بوك إم وعلى الإنترنت إم لكن أنا حضرتك لأن حضرتك يا أستاذه منى
adapt_sample_570_clean,على ما عمك يخلص أكل
adapt_sample_571_clean,أه إنت تشوفها في الشارع تقول دي غاده عبد الرازق
adapt_sample_572_clean,والعمليه تتكلف كام يا دكتور
adapt_sample_573_clean,فالراجل يعني ده لكن أنا قتيل فاطمه جنديل إم أو جنديله
adapt_sample_574_clean,يا ريت تشتغل مات واحد عايزين يضربوا مكانه
adapt_sample_575_clean,أنا قبضت فلوس محصول القصب أربعين ألف جنيه
adapt_sample_576_clean,يلزمك يلزمني
adapt_sample_577_clean,إمتى يخلص
adapt_sample_578_clean,تمام يا عمي
adapt_sample_579_clean,وجيل الستينيات إم اللي لغاية دلوقتي قعد يفلفص إم واخد بالك
adapt_sample_580_clean,أه إم و بعد كده بيقولك واحد زملكاوي أيوه يا أخي
adapt_sample_581_clean,يعني أنا ما ينفعش أقول عليه إن هو شخص حرامي ما ينفعش أنا مشفتش منه سرقه
adapt_sample_582_clean,أيوه
adapt_sample_583_clean,أه البهو بيصنع من سن العقربه و التعبان
adapt_sample_584_clean,أبقى أنا راجل خاين يعني وبعدين في حاجات اسمها التناقضات الرئيسيه والثانويه
adapt_sample_585_clean,المهم طلعنا بيها على المستشفى
adapt_sample_586_clean,واه وهتبيع الفدان ليه يا منصور
adapt_sample_587_clean,اقعد يا جمعه
adapt_sample_588_clean,تمام
adapt_sample_589_clean,ما خلاص يا خميسنو اهدى
adapt_sample_590_clean,اسمع يا جمعه إحنا عايزين نعمل خطه أنا وانت نخلي مراتي واكلاهم تدبح الطير كله
adapt_sample_591_clean,يا إما تقوم القيامه
adapt_sample_592_clean,ألو
adapt_sample_593_clean,خير يا دكتور
adapt_sample_594_clean,اتقفل الباب الجميل ال ال اللي يعني اللي مليان يعني انت متعرفش ساعة ما تبقى القصيده معاك يا لا متعه لا تدانيها متعه إم
adapt_sample_595_clean,إحنا هنتصل بالألمانيه للحشرات
adapt_sample_596_clean,بس تعمل ايه
adapt_sample_597_clean,نتكلم في الطب
adapt_sample_598_clean,لا معرفهاش
adapt_sample_599_clean,اللي مخلي التار مخلصانشي من الصعيد لو اللي ضارب بيضرب يخلص لكن هو ده ضرب يرمى على ولد عمه يضربه يرمى على اخوه يضربه
adapt_sample_600_clean,أه كده صح
adapt_sample_601_clean,خلاص بيع لي الفدانين بخمسمية ألف جنيه
adapt_sample_602_clean,وإيه أخبارك تمام
adapt_sample_603_clean,تمام
adapt_sample_604_clean,بس ما هو لازم يبقى إيه إيه الرخصه ده بقى طب هنرجع يا ستي طب ينفع
adapt_sample_605_clean,ورا الكاميرا أنا ماليش أي علاقه بوائل صح كده أه طيب هو أنا إتكلمت على الدكتور مرسي إن هو إن هو شخص سيء لا هو شخص صالح يعني ولا إنه زكي علىعلى الله أحد شخص صالح وبيصلي وبتاع
adapt_sample_606_clean,عامل ديك وساكت
adapt_sample_607_clean,نسمع التأشيره ونقول الشعر بقى شويه
adapt_sample_608_clean,البيت
adapt_sample_609_clean,لبش
adapt_sample_610_clean,تمام كلام سليم
adapt_sample_611_clean,أمال لك تلت سنين بتقولي أنا بحب الأهلي
adapt_sample_612_clean,مش كفايه شغال لوحده
adapt_sample_613_clean,بيضه كده أنا خضره والواد عايز يتجوزها
adapt_sample_614_clean,ها
adapt_sample_615_clean,أه
adapt_sample_616_clean,أنا و لا فخر عندي خمس فدن و ساقيه و باكل بيجر الساقييه و بقرتين وحصان وبدور على المهر
adapt_sample_617_clean,أه أنا مش متداري كلمة كلمة الحج واضحه يا أستاذ وائل واللي يزعل يزعل
adapt_sample_618_clean,ليه عشان النادي الأهلي ده أه أكبر نادي في الشرق الأوسط
adapt_sample_619_clean,ده اللي مخوفك
adapt_sample_620_clean,عايز أشوفهم يا منصور
adapt_sample_621_clean,معاك يا خميس الله يخرب بيت أبوك
adapt_sample_622_clean,عيانه مش عيانه هاتيها نكشف عليها لو سمحتي
adapt_sample_623_clean,سلام يا ولد اخوي
adapt_sample_624_clean,خلي بالك وغلطه في حق قدرت دوست على الزرار على طول مينفعش
adapt_sample_625_clean,وكل واحد يزرع أرضه بطريقته
adapt_sample_626_clean,إقرأ باسم ربك الذي خلق المصالح والمصايب ده ده تحريف تحريف إيه يا عم
adapt_sample_627_clean,راحو الدرس يابا مالك يابا شكلك مضايق أكيد قابلت عمي في الزرع
adapt_sample_628_clean,قالي طب يا دوي إيه رأيك تطلع من المأموريه دي قولتله أتوكل على الله
adapt_sample_629_clean,ودي كيداهم
adapt_sample_630_clean,قالها لا مش وجدي كمال الطويل إم ده كمال
adapt_sample_631_clean,أنا أقبل أمام بنتي إني أتحبس كناشط سياسي لكن مقبلش
adapt_sample_632_clean,ده انا مشيت ياما علشان أشوف راحه يا مليني حنيه وموده وسماحه ناقص تريحني
adapt_sample_633_clean,لا أنا منمش أصلا أنا منمش أنا منمش
adapt_sample_634_clean,هما خدوا حقهم
adapt_sample_635_clean,طب لو قولت يا عم الحج
adapt_sample_636_clean,"بس , ده أول حاجه"
adapt_sample_637_clean,إبنك يقولك يا بطل هات الانتصار
adapt_sample_638_clean,قالت لها إزاي في بلد الكرم الأقصر
adapt_sample_639_clean,رايحه بالواي فاي واي فاي هيتكتب في القايمه
adapt_sample_640_clean,أه لأ يعني مع عبد الحليم في الغنا
adapt_sample_641_clean,لقيته حاسس بالوحده من غير واكلاهم
adapt_sample_642_clean,كفار كل البلد مصريين كل المسلمين مسلمين وكل المسيحيين مسيحيين وفي النهايه إحنا الكل في مصر وبنتكلم على مصر لا بنتكلم على مسلمين ولا على كفار يعني هو أنا لما هنزل يوم تلاتين
adapt_sample_643_clean,وبعدين ضد مين بعد
adapt_sample_644_clean,يلا روح هات العقود
adapt_sample_645_clean,طبعا ليه يا بوي
adapt_sample_646_clean,تسلم البطن اللي شالت
adapt_sample_647_clean,الفكره عجبتني
adapt_sample_648_clean,مسؤول السياسي في المنظمه اللي بلغ عني مسؤولي
adapt_sample_649_clean,هو المفروض كل واحد يبقى في قلبه
adapt_sample_650_clean,ده أكيد
adapt_sample_651_clean,أجمل مذيع
adapt_sample_652_clean,أيوه
adapt_sample_653_clean,أبويا ماله
adapt_sample_654_clean,تمام
adapt_sample_655_clean,اشربها كلها اشرب يا خماسينو
adapt_sample_656_clean,لما إنت بتعايرني بخلفتي أمال الغريب يعايرني بإيه
adapt_sample_657_clean,هشتري عياده للدكتوره نصره بنتي
adapt_sample_658_clean,وصابعي لوحده بكسوفك ولا تهزش قصاد خوفك يا خوف يا جبان أنا إخوان
adapt_sample_659_clean,يا عم قالي بس هنقولها يا جماعه يعني هتغنيها للكروال
adapt_sample_660_clean,هو طلع لقيه حذر معاه يا جدعان أخوك أخوك قتل والده عمك جته إنت ما خرجش في مشاكل إرحل مشيت من البلد يبقوا ما حدش هيدعبس عليها تقعد في البلد والرقص يملوك هيموتوك
adapt_sample_661_clean,وتكمل فرحتي ويبقى عندي بت دكتوره
adapt_sample_662_clean,وسإيه عامل الديك خميس
adapt_sample_663_clean,يا رب يبعد عنك المرض
adapt_sample_664_clean,ده عين العقل يا بنت عمي كلام زين
adapt_sample_665_clean,أه البرنامج بتاعك
adapt_sample_666_clean,إي عامل تمام
adapt_sample_667_clean,فجأه لقيت نفسي بطبخ
adapt_sample_668_clean,يا ولدي ما فيش في الحب أه ما فيش في ال في الجواز غيره
adapt_sample_669_clean,كنت حاسس إن أنا بغرق وهما التلاته بيسحبوني
adapt_sample_670_clean,تعمالى يا ع
adapt_sample_671_clean,لما كبرت لما جيت اتجوزت نهاد التي لم تدخل المطبخ في حياتها إم
adapt_sample_672_clean,يعني في قصيدة يامنه مثلا
adapt_sample_673_clean,أنا واخدها
adapt_sample_674_clean,ملعون في كل كتابيا داء السكوت
adapt_sample_675_clean,بروح لأبوك واقوله بياخد أبتريل
adapt_sample_676_clean,لكني وراك بعارضك أه لكني وراك بكدب في السفينه معاك اكون ودنك اكون عينك اكون جوه في دراعك نبني بلدنا لهوانا مش لهواك
adapt_sample_677_clean,أنا بشجع الزمالك
adapt_sample_678_clean,راحت طبعا خدت معلقه
adapt_sample_679_clean,هذا ما إحنا بنعلم ولادنا ونوديهم المدارس والكليات
adapt_sample_680_clean,لازم كلكم تقروا وتكتبوا فاهمين
adapt_sample_681_clean,الاتحاديه لكن لما الإعلان الدستوري نفسه نزل أنا طلعت قلت شعر لكن بعد عشر تشهر أنا مش شايف أي حاجه بتحصل أي حاجه بتحصل
adapt_sample_682_clean,تعالي
adapt_sample_683_clean,صح كده
adapt_sample_684_clean,تاني يوم التليفونات إلحق تعالى البتاع الإرهاب روحت
adapt_sample_685_clean,وقبلك كله مش محسوب عليا وقبلك ضاعت الأيام
adapt_sample_686_clean,طبعا وابنود وبتاع والناس
adapt_sample_687_clean,أبو رشوان
adapt_sample_688_clean,ومش كل لما توعد وعد تطلع بوق ما تشدش فرامل اليد وتطلب مني أنزل أزق ولما الناس تكون سايره ومختلفه
adapt_sample_689_clean,يعني دايما كان وطنيتهم حلوه زي أغلى إسم في الوجود إم
adapt_sample_690_clean,بطلع فوق عند عشة الفروج و بمسك أتخن ديك فيها بروح مقصقص ريشه بروح شاطر من فوق السطح
adapt_sample_691_clean,لأ طيب أه كانت بتغني
adapt_sample_692_clean,أنا مخدتش بالي مع البيت التاني اللي من النحل اللي قدامه
adapt_sample_693_clean,بغض النظر أه ده مش دفاع مش هاين عليا الشباب
adapt_sample_694_clean,خلاص يا أبو أخوك إحنا نعزل أبونا سابنا أربع فدن
adapt_sample_695_clean,وإن لم تحاسديه فما فما أنكر أني عقوبة لهم
adapt_sample_696_clean,وأوقفني جواز غير مختوم على الشباك لم أعبر حين كبرت لم أبحر ولم أعبر كبرت أنا وهذا الطفل لم يكبر
adapt_sample_697_clean,لأنه رأيهم إن ده المفروض هي تعمل إم
adapt_sample_698_clean,التار إنت منين في الصعيد
adapt_sample_699_clean,دي مره الظالمه بتصحي الضيوف من الساعه سته وتسيب الفراجات يصحوا براحتهم
adapt_sample_700_clean,فريق كبير أه سقف سنه
adapt_sample_701_clean,و لكن أنا يعني لازم يعني تحقق ما تراه مش ما يراه الاخرون
adapt_sample_702_clean,إنتي رايحه الكليه النهارده
adapt_sample_703_clean,لحسن أبو البنات يخلص قبلنا
adapt_sample_704_clean,أمال هو اللي مخلي التار ما يخلصش إيه
adapt_sample_705_clean,مش عيم سته
adapt_sample_706_clean,إم في ال اللي حبسني
adapt_sample_707_clean,ليه كل يوم احتياج واحد ده انا عندي سرير عندي بتاع ميه وخمسين واحد احتياج واحد احتياج واحد كلت ديابه بس واتعلمت انا اتعرضت لمؤاخذه وانا قاعد ديابه انا بقولك ده كان بياكل الميتين
adapt_sample_708_clean,يعني كانت بنتي إم
adapt_sample_709_clean,وليه منزلتش بسلامتها
adapt_sample_710_clean,خليه يتقوى ببناته
adapt_sample_711_clean,أه تقولها دي طحينه
adapt_sample_712_clean,عارف يا منصور
adapt_sample_713_clean,كيبتكم هتعيشي معاها
adapt_sample_714_clean,هعمل ايه أدي الله وادي حكمته حسبي الله ونعم الوكيل
adapt_sample_715_clean,ده برشام فلورست بتاع صداع
adapt_sample_716_clean,كان عبد الحليم في الاستوديو وهي بينها وبين عبد الحليم مصانع الحداد
adapt_sample_717_clean,زوجته وولاده
adapt_sample_718_clean,لأن احنا لنا تجربه طويله عريضه إم شريفه إم دفعنا تمنها
adapt_sample_719_clean,يعني براحتك كنت اقعد جنبها
adapt_sample_720_clean,قولتله أنا أنا عبد الرحمن الأبنودي تغنيلي أم كلثوم أغنيه اسمها بالراحه يا حبيبي
adapt_sample_721_clean,أيوه دخلنا قرايبنا إحنا يا جماعه ضربوا منهم واحد و حاولوا ضربوا بالقانون
adapt_sample_722_clean,سبحان الله
adapt_sample_723_clean,لازم الصعيد يتسلط عليه الأضواء يا أستاذه منى صح يعني في
adapt_sample_724_clean,تصور يا جمعه دي بتخاف على الفرخه واكلاهم أكتر من الديك خميس
adapt_sample_725_clean,أه يعني ممكن تيجي مراتك الصبح
adapt_sample_726_clean,أروح للحمامات أرجع بيها
adapt_sample_727_clean,فده كله حضرتك من العادات والتقاليد يعني أنا لسه أخويا مجوز بنته من حوالي أسبوعين
adapt_sample_728_clean,خلاص دخل دولا في القفص عشان كشفنا عليهم
adapt_sample_729_clean,أمي والليل مليل طعم الزاد الجليل ألله بترفرف جبل ترحل
adapt_sample_730_clean,عم منصور
adapt_sample_731_clean,سلسه فيها يعني إم واحد ممكن يجيبلك
adapt_sample_732_clean,يعتبر مات جايبه ووجاي شايل الكفن وحاطط السكينه
adapt_sample_733_clean,أه نايم وجت واحده كده
adapt_sample_734_clean,هو عامل نفسه مش شايف هو شايف طبعا عدى حسني مبارك كده
adapt_sample_735_clean,قصدي نتكلم في المهر
adapt_sample_736_clean,كانت نهال في الوقت ده على باب خطوبه إم وواخده الصور توريها بتوريهالي يعني وتوريها للفاطمه جانديل
adapt_sample_737_clean,طب ما اقتعتوش ليه بيها ديت
adapt_sample_738_clean,تمام ماشي
adapt_sample_739_clean,عمد الله على السلامة يا واد
adapt_sample_740_clean,قالولي العروسه فرسه مصدقتش
adapt_sample_741_clean,سلامة قلبك يابا
adapt_sample_742_clean,لكن يعني إيه احتفظت بحبهم إم
adapt_sample_743_clean,يعني إحنا بيتين إي البيت التاني اللي اضرب منه هو اللي ضرب الجده
adapt_sample_744_clean,ولدت بتونس الخضراء من أصل عماني وعمري زاد عن ألف وأمي لم تزل تحمل أنا العربي في بغداد لي نخل سوداني شرياني أنا مصري وموريتانيا وجيبوتي وحماني مسيحي وسني وشيعي وشيعي وشيعي وعلوي وشيعي وشيوعي أنا لا أحفظ الأسماء
adapt_sample_745_clean,أه على فكره لفة العمه دي بتاعت الأقصر بتاعت صعيدنا يعني ممكن تكون في المسلسلات مختلفه بس أنا حابه أعملها كده
adapt_sample_746_clean,يقولك اللي بره دول اللي بره ما هو في الحريه إم يغلط ميغلطش بكافو إم
adapt_sample_747_clean,أهلا أهلا أهلا
adapt_sample_748_clean,ممكن لما امسك حاجه ولادي يتفرجوا عليها يقولوا بص عليها كده
adapt_sample_749_clean,طيب أنا عندي المره الفروجه اللي بتبيض
adapt_sample_750_clean,امسيك بالخير يا أستاذ حياك الله يا أستاذ أهلا بيك ومرحبا يا أستاذ
adapt_sample_751_clean,بليغ جالي في يوم وقالي يا عم أبسط أم كلثوم هتغني أنا مش كلثوم
adapt_sample_752_clean,وخلال ده بيحكي عن حياته في باريس وعن مسارح باريس حاجه يعني مش عارف لحظات كانت جميله مع الراجل ده
adapt_sample_753_clean,لا
adapt_sample_754_clean,ما تخطبليش في أتباعك ولما تكون مع وزيره متلعبليش في دراعك
adapt_sample_755_clean,هي فيها فروج
adapt_sample_756_clean,أه معانا خمسين حتى ايه تقولي كده مش كده
adapt_sample_757_clean,هو من قتل يقتل
adapt_sample_758_clean,شرفت والله
adapt_sample_759_clean,كان عندي حداشر سنه يوم ما خدوني لأبوه أه وأبوه كان قد النخله ومليت الدنيا بيكم
adapt_sample_760_clean,فاتهم
adapt_sample_761_clean,إيه الحلاوه دي
adapt_sample_762_clean,أنا وبعمل العمليه شوفت بناتك التلاته
adapt_sample_763_clean,طب ما ناس كتير هتموت وملهاش ذنب
adapt_sample_764_clean,وكنت أخبئ الأشعار في قلبي ووجداني بلاد العرب أوطاني وكل العرب إخواني بلاد العرب أوطاني
adapt_sample_765_clean,ونزلت المهم رجعت المغربيه
adapt_sample_766_clean,يعني هما هيدوروا عليها طول عمرهم يعني أنا بقالي عشر سنين هربان أها
adapt_sample_767_clean,وصعبان عليك ليه إن شاء الله
adapt_sample_768_clean,أم شحته جاي من المستشفى
adapt_sample_769_clean,تمام
adapt_sample_770_clean,عايز تاكل صاحبك
adapt_sample_771_clean,والله يا حاج ناصر إنت محتاج عملية زراعة كبد عشان عندك ورم على الكبد
adapt_sample_772_clean,لا أنا ما قولتش بنيه لإنسان على خمسه أمام الشاشات و بالعكس وطلبت مني أمام الشاشات و عندي التسجيلات دي ما أنا برضو ما رحتش النيابه بإيدي فاضيه ما أنا رايح النيابه معايا
adapt_sample_773_clean,إزاي نخلص
adapt_sample_774_clean,خير يا دكتور
adapt_sample_775_clean,الناس بالسجن
adapt_sample_776_clean,قالتلي يا أخي خليها تدوقه
adapt_sample_777_clean,تعالى هنا
adapt_sample_778_clean,معاه واد ما فيش غيره و خمس بنات و معاه خمس ست فدادين ما تربوه جماعه ما ترموا في نفس الوقت ما قالوش ياخدوا الطعن خلصوا الحكومه عنده خمستاشر سنه هو قعد يصرف من الزرعه و يكرم الناس ما قالوش
adapt_sample_779_clean,من القاهره لجينا و من جينا لأسوان و من أسوان لأقصر و من الأقصر على القاهره في حدود ألفين و ربعمية كيلو سايب و كمان و أنا راجع توهت فروحت معدي على راس غارب وسلمت على أهلنا هناك وبتاع
adapt_sample_780_clean,إم أشتري إم
adapt_sample_781_clean,يعني إيه
adapt_sample_782_clean,تشتتنا على يدكم فتبت كل أيديكم أنا العربي لا أخجل لا أخجل
adapt_sample_783_clean,على التعصب
adapt_sample_784_clean,ودخل اللبط كان زمان لما جاسوس
adapt_sample_785_clean,ادعيلي يابا
adapt_sample_786_clean,دي بتتعب من الكابتشينو
adapt_sample_787_clean,كانت الجاليه المصريه هناك بتحتفل بأعياد سينا المهم خلاص و وبعتولي التذاكر السفر و خلاص وكل حاجه خالصه و جايبين قنواتهم اللي هتصور وبتاع و باعوا تذاكر لصالح الجاليه يعني لصالح الاتحاد
adapt_sample_788_clean,روح قوله
adapt_sample_789_clean,أه
adapt_sample_790_clean,إنت بتستعماني يا محمود
adapt_sample_791_clean,مع السلامه مع السلامه والله عال
adapt_sample_792_clean,يعني الكوبايه هتمشي خايق عليها أه
adapt_sample_793_clean,والله ولا احنا بنحب الحاجات دي
adapt_sample_794_clean,إم يعني القصيده
adapt_sample_795_clean,فالمرأه تربي والمرأه تروح تجيب ميه من النهر والمرأه تخبز
adapt_sample_796_clean,فتديني تتكلم كلامها شاعر أمي كلامها شاعر
adapt_sample_797_clean,إم وحطوا علامة موت عليا كده في ال إم موتوني في ال في الفيس بوك بتاع اللي خلفوهم
adapt_sample_798_clean,إنتي حاطه أكل كتير في التلاجه
adapt_sample_799_clean,وادق طبلي واتمني فرحنا بالزيت واركب دواره واطحن العده بالزيت بالزيت واحلف على العيال ما تنظر عادي ولا
adapt_sample_800_clean,اللي هو بيقولك إيه
